1107	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Paraprevotella
1109	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
1110	Bacteria	Firmicutes	Clostridia	Clostridiales		
1111	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
1113	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
1114	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
1115	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	
1116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1117	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1118	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Aerostipes
1119	Bacteria	Firmicutes	Clostridia	Clostridiales		
1120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	
1121	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
1122	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
1123	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	
1124	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
1125	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
1126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1127	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
1128	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1129	Bacteria	Firmicutes	Clostridia	Clostridiales		
1130	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
1131	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1133	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
1135	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1136	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	
1137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1138	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Aerofilum
1139	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	
1140	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1141	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
1142	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
1143	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
1144	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1145	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1146	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
1147	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
1148	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
1149	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
1150	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
